"Date","id","name","min","max","Mean"
2023-03-27,1,"Bitcoin",28037.9258606414,26606.6890011395,27322.307
2023-03-28,1,"Bitcoin",27460.7194594252,26677.8187281128,27069.269
2023-03-29,1,"Bitcoin",28619.5433888008,27259.6611804101,27939.602
2023-03-30,1,"Bitcoin",29159.9026178662,27720.1593376162,28440.031
2023-03-31,1,"Bitcoin",28639.8960837575,27583.7152600683,28111.806
2023-04-01,1,"Bitcoin",28802.4574784469,28297.1724976454,28549.815
2023-04-02,1,"Bitcoin",28518.9584078453,27884.0870913286,28201.523
2023-04-03,1,"Bitcoin",28475.6225074989,27276.7199488097,27876.171
2023-04-04,1,"Bitcoin",28433.7429759972,27681.3050566141,28057.524
2023-04-05,1,"Bitcoin",28739.2381106536,27843.7644954278,28291.501
2023-04-06,1,"Bitcoin",28178.3843123757,27738.759361406,27958.572
2023-04-07,1,"Bitcoin",28111.5932841216,27794.0318258101,27952.813
2023-04-08,1,"Bitcoin",28159.8627798755,27883.386552621,28021.625
2023-04-09,1,"Bitcoin",28532.8299692781,27828.4814105435,28180.656
2023-04-10,1,"Bitcoin",29771.46392891,28189.2707713694,28980.367
2023-04-11,1,"Bitcoin",30509.0836664564,29609.3013680349,30059.193
2023-04-12,1,"Bitcoin",30462.480941487,29725.5733501584,30094.027
2023-04-13,1,"Bitcoin",30539.8464812825,29878.6221634081,30209.234
2023-04-14,1,"Bitcoin",31005.6080444729,30044.497509619,30525.053
2023-04-15,1,"Bitcoin",30601.7401642927,30245.881938716,30423.811
2023-04-16,1,"Bitcoin",30555.5376334409,30157.8323252603,30356.685
2023-04-17,1,"Bitcoin",30319.1965766039,29275.3710576336,29797.284
2023-04-18,1,"Bitcoin",30470.3020147381,29154.8493708622,29812.576
2023-04-19,1,"Bitcoin",30411.0537908765,28669.8982681516,29540.476
2023-04-20,1,"Bitcoin",29076.4010485199,28037.2572572235,28556.829
2023-04-21,1,"Bitcoin",28349.9678577085,27177.3652995742,27763.667
2023-04-22,1,"Bitcoin",27872.1431679039,27169.5711204099,27520.857
2023-04-23,1,"Bitcoin",27820.2444909276,27400.3137358677,27610.279
2023-04-24,1,"Bitcoin",27979.9819006629,27070.8494995525,27525.416
2023-03-27,52,"XRP",0.487612860741171,0.443895935897408,0.466
2023-03-28,52,"XRP",0.529756040794601,0.470200638494937,0.5
2023-03-29,52,"XRP",0.58039994304947,0.514962380498314,0.548
2023-03-30,52,"XRP",0.554223121492007,0.527191782302208,0.541
2023-03-31,52,"XRP",0.546923392123068,0.528557914820972,0.538
2023-04-01,52,"XRP",0.538472481837908,0.501539041386993,0.52
2023-04-02,52,"XRP",0.528495161951074,0.503520529442828,0.516
2023-04-03,52,"XRP",0.523166604413706,0.486949000813071,0.505
2023-04-04,52,"XRP",0.507640912937934,0.488973689143767,0.498
2023-04-05,52,"XRP",0.525638915500545,0.500063860967079,0.513
2023-04-06,52,"XRP",0.509013324269538,0.494525038975419,0.502
2023-04-07,52,"XRP",0.514164614145962,0.499107978626846,0.507
2023-04-08,52,"XRP",0.51372996596051,0.504441184199315,0.509
2023-04-09,52,"XRP",0.509142615889034,0.500927441261292,0.505
2023-04-10,52,"XRP",0.519673160141983,0.501259131558434,0.51
2023-04-11,52,"XRP",0.526305685773976,0.51329358407815,0.52
2023-04-12,52,"XRP",0.517995942488183,0.501414806405878,0.51
2023-04-13,52,"XRP",0.514771716229212,0.502590842038123,0.509
2023-04-14,52,"XRP",0.543840557776819,0.512477210022084,0.528
2023-04-15,52,"XRP",0.525804592587846,0.518276951038766,0.522
2023-04-16,52,"XRP",0.524254445994827,0.517238599192482,0.521
2023-04-17,52,"XRP",0.521361177322956,0.50827568600534,0.515
2023-04-18,52,"XRP",0.535962190123133,0.510616870125774,0.523
2023-04-19,52,"XRP",0.534383263441813,0.48925794125818,0.512
2023-04-20,52,"XRP",0.49882684694708,0.46867063340441,0.484
2023-04-21,52,"XRP",0.478769832985375,0.442738589503135,0.461
2023-04-22,52,"XRP",0.47453467861651,0.446767281900301,0.461
2023-04-23,52,"XRP",0.472660309927522,0.455863814498947,0.464
2023-04-24,52,"XRP",0.482532656176983,0.451035782742793,0.467
2023-03-27,74,"Dogecoin",0.0758309739849841,0.0717561313930419,0.074
2023-03-28,74,"Dogecoin",0.0739246260008502,0.0719366210228823,0.073
2023-03-29,74,"Dogecoin",0.0767332735855555,0.0736424357059048,0.075
2023-03-30,74,"Dogecoin",0.0766406369210108,0.0736844064248498,0.075
2023-03-31,74,"Dogecoin",0.0777218265550755,0.0738076088256823,0.076
2023-04-01,74,"Dogecoin",0.0830736354846101,0.0761435458474296,0.08
2023-04-02,74,"Dogecoin",0.0852785595337349,0.0778484547941401,0.082
2023-04-03,74,"Dogecoin",0.102640097482393,0.0766315507657066,0.09
2023-04-04,74,"Dogecoin",0.102538057129046,0.092870850825501,0.098
2023-04-05,74,"Dogecoin",0.0989387785967043,0.0920844351113087,0.096
2023-04-06,74,"Dogecoin",0.0928473344710997,0.0854118648704904,0.089
2023-04-07,74,"Dogecoin",0.0860977624406947,0.0818908351773597,0.084
2023-04-08,74,"Dogecoin",0.0838260470748463,0.0810349139738712,0.082
2023-04-09,74,"Dogecoin",0.0838252246237512,0.0813538835262014,0.083
2023-04-10,74,"Dogecoin",0.085272286071403,0.0824702755336794,0.084
2023-04-11,74,"Dogecoin",0.0857103811470012,0.0838987332076175,0.085
2023-04-12,74,"Dogecoin",0.0844290525339092,0.0813192254871016,0.083
2023-04-13,74,"Dogecoin",0.0883810950472102,0.0830203046841913,0.086
2023-04-14,74,"Dogecoin",0.0911159807355798,0.0858790669492427,0.088
2023-04-15,74,"Dogecoin",0.0904470230940237,0.087653430091155,0.089
2023-04-16,74,"Dogecoin",0.0915150283864491,0.0882314297033119,0.09
2023-04-17,74,"Dogecoin",0.0945951272942283,0.0885769720379691,0.092
2023-04-18,74,"Dogecoin",0.094494945153052,0.0900857150733718,0.092
2023-04-19,74,"Dogecoin",0.0940213847294242,0.0868490601792073,0.09
2023-04-20,74,"Dogecoin",0.0929719014318102,0.0829979761465085,0.088
2023-04-21,74,"Dogecoin",0.084629030362832,0.0775170236939664,0.081
2023-04-22,74,"Dogecoin",0.0809191732835262,0.0783130635921027,0.08
2023-04-23,74,"Dogecoin",0.0806283574467193,0.0774373353715158,0.079
2023-04-24,74,"Dogecoin",0.0799725096968621,0.0775687980314464,0.079
2023-03-27,825,"Tether",1.00106474518429,0.999734032081211,1
2023-03-28,825,"Tether",1.00059257631977,0.999605000739912,1
2023-03-29,825,"Tether",1.00069382387051,0.999116414240534,1
2023-03-30,825,"Tether",1.00069579975299,0.999458019276151,1
2023-03-31,825,"Tether",1.00063763183252,0.99963310957713,1
2023-04-01,825,"Tether",1.00068524266329,0.999718564947441,1
2023-04-02,825,"Tether",1.0006383990508,0.999729863339339,1
2023-04-03,825,"Tether",1.00082274329145,0.999625912053198,1
2023-04-04,825,"Tether",1.00078056983042,0.99919635706848,1
2023-04-05,825,"Tether",1.00053008383484,0.999556935003213,1
2023-04-06,825,"Tether",1.00075003834591,0.999617711615159,1
2023-04-07,825,"Tether",1.0009989243272,0.999572488773002,1
2023-04-08,825,"Tether",1.00096486680665,0.999980625591692,1
2023-04-09,825,"Tether",1.00096749314057,0.999873119010183,1
2023-04-10,825,"Tether",1.0011304258963,0.99989289907857,1.001
2023-04-11,825,"Tether",1.00112682127903,0.999952342533624,1.001
2023-04-12,825,"Tether",1.00152969136842,1.0000285740999,1.001
2023-04-13,825,"Tether",1.00146795376972,1.00023463469464,1.001
2023-04-14,825,"Tether",1.00133635926077,0.9999353754595,1.001
2023-04-15,825,"Tether",1.00128968231525,1.00029229394801,1.001
2023-04-16,825,"Tether",1.00118778560882,0.99974091780463,1
2023-04-17,825,"Tether",1.0010241085365,0.99991353826324,1
2023-04-18,825,"Tether",1.00087498693447,0.999882126324064,1
2023-04-19,825,"Tether",1.00099298505789,0.999942011867062,1
2023-04-20,825,"Tether",1.00099018369315,0.999653673408805,1
2023-04-21,825,"Tether",1.00062531347266,0.999469229091083,1
2023-04-22,825,"Tether",1.00086762816271,0.999587044160002,1
2023-04-23,825,"Tether",1.00077228713962,0.999698247021962,1
2023-04-24,825,"Tether",1.00079966006181,0.99966846727879,1
2023-03-27,1027,"Ethereum",1781.37921471303,1690.51658535353,1735.948
2023-03-28,1027,"Ethereum",1791.11091867704,1702.56475465058,1746.838
2023-03-29,1027,"Ethereum",1825.60097993574,1772.89995538624,1799.25
2023-03-30,1027,"Ethereum",1827.28023188787,1766.24894834277,1796.765
2023-03-31,1027,"Ethereum",1844.67737716324,1783.14215151827,1813.91
2023-04-01,1027,"Ethereum",1840.17310897339,1812.02193301235,1826.098
2023-04-02,1027,"Ethereum",1824.32890585038,1774.87246502067,1799.601
2023-04-03,1027,"Ethereum",1839.15779710914,1765.51889512013,1802.338
2023-04-04,1027,"Ethereum",1886.5946607041,1802.95542262341,1844.775
2023-04-05,1027,"Ethereum",1937.49755665887,1865.94188252072,1901.72
2023-04-06,1027,"Ethereum",1909.27174995752,1857.08504815246,1883.178
2023-04-07,1027,"Ethereum",1882.29923199592,1845.99393609675,1864.147
2023-04-08,1027,"Ethereum",1879.1078158135,1848.8754745909,1863.992
2023-04-09,1027,"Ethereum",1873.05736600313,1828.70012090593,1850.879
2023-04-10,1027,"Ethereum",1917.30014247645,1848.16414644245,1882.732
2023-04-11,1027,"Ethereum",1936.72827056864,1886.53422266469,1911.631
2023-04-12,1027,"Ethereum",1929.88121749129,1860.03682574594,1894.959
2023-04-13,1027,"Ethereum",2022.15014405828,1901.86038918947,1962.005
2023-04-14,1027,"Ethereum",2126.31666077201,2011.50325505576,2068.91
2023-04-15,1027,"Ethereum",2111.07534810166,2076.51073950383,2093.793
2023-04-16,1027,"Ethereum",2137.4451201451,2076.83200334867,2107.139
2023-04-17,1027,"Ethereum",2120.1135626334,2063.03868438816,2091.576
2023-04-18,1027,"Ethereum",2121.53151941086,2057.65386201913,2089.593
2023-04-19,1027,"Ethereum",2104.85727318374,1928.58289163946,2016.72
2023-04-20,1027,"Ethereum",1979.57333723602,1918.13276471015,1948.853
2023-04-21,1027,"Ethereum",1955.64912147736,1827.78899393219,1891.719
2023-04-22,1027,"Ethereum",1886.78167408183,1845.84925319798,1866.315
2023-04-23,1027,"Ethereum",1882.22969267969,1838.99240643578,1860.611
2023-04-24,1027,"Ethereum",1888.19367724772,1811.792082619,1849.993
2023-03-27,1839,"BNB",329.330494643801,306.454432860369,317.892
2023-03-28,1839,"BNB",314.986153695219,307.371284468706,311.179
2023-03-29,1839,"BNB",319.532486248015,312.790417957356,316.161
2023-03-30,1839,"BNB",317.79572653221,311.003645424265,314.4
2023-03-31,1839,"BNB",319.633575419193,313.7864869763,316.71
2023-04-01,1839,"BNB",318.43063025167,313.561317554474,315.996
2023-04-02,1839,"BNB",316.188422291682,311.536570094643,313.862
2023-04-03,1839,"BNB",314.033246795384,300.508764347351,307.271
2023-04-04,1839,"BNB",312.087483755856,308.464972156373,310.276
2023-04-05,1839,"BNB",316.31082689986,310.514407353754,313.413
2023-04-06,1839,"BNB",314.591231247392,311.061745500712,312.826
2023-04-07,1839,"BNB",312.865251422934,309.983418366568,311.424
2023-04-08,1839,"BNB",312.68326327993,310.388018940705,311.536
2023-04-09,1839,"BNB",313.613160697892,309.884585509266,311.749
2023-04-10,1839,"BNB",318.379062017269,311.811810059143,315.095
2023-04-11,1839,"BNB",332.877773503062,318.143061632745,325.51
2023-04-12,1839,"BNB",323.489796017223,317.341036429304,320.415
2023-04-13,1839,"BNB",325.235488836934,318.162614402552,321.699
2023-04-14,1839,"BNB",335.52278059124,324.037097980384,329.78
2023-04-15,1839,"BNB",335.97052421158,327.572035238178,331.771
2023-04-16,1839,"BNB",349.956646999013,331.289822797187,340.623
2023-04-17,1839,"BNB",350.072298274635,338.260624337246,344.166
2023-04-18,1839,"BNB",346.493038808329,337.859312225398,342.176
2023-04-19,1839,"BNB",343.529897646849,321.052047245474,332.291
2023-04-20,1839,"BNB",326.552532670763,315.902187506064,321.227
2023-04-21,1839,"BNB",331.417181527061,316.11694915464,323.767
2023-04-22,1839,"BNB",332.990991103463,320.310469381557,326.651
2023-04-23,1839,"BNB",332.220709870977,327.779526157011,330
2023-04-24,1839,"BNB",333.448119846592,328.144858765064,330.796
2023-03-27,2010,"Cardano",0.356989383516211,0.338738244110622,0.348
2023-03-28,2010,"Cardano",0.369459194384634,0.343809008799877,0.357
2023-03-29,2010,"Cardano",0.389506125084742,0.367431356131075,0.378
2023-03-30,2010,"Cardano",0.386928657364811,0.370898400794662,0.379
2023-03-31,2010,"Cardano",0.407937666307754,0.375081311686085,0.392
2023-04-01,2010,"Cardano",0.401232040495114,0.389457432720846,0.395
2023-04-02,2010,"Cardano",0.39319557764063,0.377317029891609,0.385
2023-04-03,2010,"Cardano",0.40346476350727,0.372874865954694,0.388
2023-04-04,2010,"Cardano",0.399445454430205,0.385707050645784,0.393
2023-04-05,2010,"Cardano",0.39959394490837,0.38792430498982,0.394
2023-04-06,2010,"Cardano",0.392467937131965,0.377723796682416,0.385
2023-04-07,2010,"Cardano",0.384937535596377,0.377205803486535,0.381
2023-04-08,2010,"Cardano",0.390248263840771,0.381087331023791,0.386
2023-04-09,2010,"Cardano",0.39275309293489,0.385279301045292,0.389
2023-04-10,2010,"Cardano",0.397423119466399,0.385490460587349,0.391
2023-04-11,2010,"Cardano",0.411631142095901,0.396263926912031,0.404
2023-04-12,2010,"Cardano",0.406361987968649,0.390269645147836,0.398
